date,dim,value,count,baseline_median,magnitude,kind,question_ids,example_urls,example_titles
2026-05-12,tb_version_major,150,18,0.0,new,new/dormant,1581184 1581242 1581250 1581251 1581254 1581273 1581275 1581277 1581279 1581289 1581290 1581298 1581303 1581305 1581322 1581351 1581355 1581357,https://support.mozilla.org/questions/1581184 https://support.mozilla.org/questions/1581242 https://support.mozilla.org/questions/1581250 https://support.mozilla.org/questions/1581251 https://support.mozilla.org/questions/1581254 https://support.mozilla.org/questions/1581273 https://support.mozilla.org/questions/1581275 https://support.mozilla.org/questions/1581277 https://support.mozilla.org/questions/1581279 https://support.mozilla.org/questions/1581289 https://support.mozilla.org/questions/1581290 https://support.mozilla.org/questions/1581298 https://support.mozilla.org/questions/1581303 https://support.mozilla.org/questions/1581305 https://support.mozilla.org/questions/1581322 https://support.mozilla.org/questions/1581351 https://support.mozilla.org/questions/1581355 https://support.mozilla.org/questions/1581357,"Problem Creating ""New SubFolder"" and ""New Folder"" | Thunderbird UI glitch - toolbar above message preview disapp | Can't set event reminder date/time | V Mozzila Thunderbird 150.0.2 nefunguje pro Gmail odchozí se | ""Show Timezones"" button logic is reversed if it was already "
2026-05-12,os,os:windows,28,4.0,7.0,above-baseline,1581193 1581199 1581203 1581216 1581222 1581242 1581250 1581251 1581252 1581254 1581265 1581266 1581274 1581275 1581277 1581279 1581281 1581286 1581289 1581290 1581298 1581300 1581305 1581322 1581351 1581353 1581355 1581357,https://support.mozilla.org/questions/1581193 https://support.mozilla.org/questions/1581199 https://support.mozilla.org/questions/1581203 https://support.mozilla.org/questions/1581216 https://support.mozilla.org/questions/1581222 https://support.mozilla.org/questions/1581242 https://support.mozilla.org/questions/1581250 https://support.mozilla.org/questions/1581251 https://support.mozilla.org/questions/1581252 https://support.mozilla.org/questions/1581254 https://support.mozilla.org/questions/1581265 https://support.mozilla.org/questions/1581266 https://support.mozilla.org/questions/1581274 https://support.mozilla.org/questions/1581275 https://support.mozilla.org/questions/1581277 https://support.mozilla.org/questions/1581279 https://support.mozilla.org/questions/1581281 https://support.mozilla.org/questions/1581286 https://support.mozilla.org/questions/1581289 https://support.mozilla.org/questions/1581290 https://support.mozilla.org/questions/1581298 https://support.mozilla.org/questions/1581300 https://support.mozilla.org/questions/1581305 https://support.mozilla.org/questions/1581322 https://support.mozilla.org/questions/1581351 https://support.mozilla.org/questions/1581353 https://support.mozilla.org/questions/1581355 https://support.mozilla.org/questions/1581357,Mozilla Thunderbird | Correct set up for outgoing mail but server will not process | Migrating to Thunderbird from WLM on a Win 7 machine. Will e | Move Firefox PEOPLE folder email list back to the NEW EMAIL  | I AM NOT ABLE TO SEND EMAILS
2026-05-12,protocol,proto:imap,5,1.0,5.0,above-baseline,1581184 1581273 1581275 1581279 1581355,https://support.mozilla.org/questions/1581184 https://support.mozilla.org/questions/1581273 https://support.mozilla.org/questions/1581275 https://support.mozilla.org/questions/1581279 https://support.mozilla.org/questions/1581355,"Problem Creating ""New SubFolder"" and ""New Folder"" | Unable to add personal Hotmail/Outlook.com 🥹 _ Any help is a | Deleted mails are not removed from Gmail All Mails folder ev | Sending of the message failed. The message could not be sent | Migrating from Outlook Classic to IMAP Server, but unable to"
2026-05-11,tb_version_major,140,9,0.0,new,new/dormant,1581063 1581087 1581130 1581135 1581144 1581147 1581154 1581160 1581178,https://support.mozilla.org/questions/1581063 https://support.mozilla.org/questions/1581087 https://support.mozilla.org/questions/1581130 https://support.mozilla.org/questions/1581135 https://support.mozilla.org/questions/1581144 https://support.mozilla.org/questions/1581147 https://support.mozilla.org/questions/1581154 https://support.mozilla.org/questions/1581160 https://support.mozilla.org/questions/1581178,Update could not be installed ( patch apply failed) | password not recognised | Emails on computer show date and time as the date and time I | Forward an email using filters | Signature does not appear on reply emails. Have to open sett
2026-05-11,tb_version_major,150,9,0.0,new,new/dormant,1581057 1581089 1581092 1581096 1581104 1581107 1581141 1581146 1581175,https://support.mozilla.org/questions/1581057 https://support.mozilla.org/questions/1581089 https://support.mozilla.org/questions/1581092 https://support.mozilla.org/questions/1581096 https://support.mozilla.org/questions/1581104 https://support.mozilla.org/questions/1581107 https://support.mozilla.org/questions/1581141 https://support.mozilla.org/questions/1581146 https://support.mozilla.org/questions/1581175,Thunderbird.Only Shows. Der E-Mails of the Past to Three Wee | Cannot send e-mail after reinstalling Thunderbird | PROBLEMA COM ENVIO DE E-MAILS | Mail filters for custom headers do not work on the Yahoo! IM | I need to get my e-mail filters from my old machine
2026-05-11,os,os:windows,19,4.0,4.75,above-baseline,1581022 1581038 1581063 1581089 1581092 1581096 1581099 1581100 1581104 1581115 1581130 1581135 1581138 1581141 1581146 1581147 1581175 1581178 1581180,https://support.mozilla.org/questions/1581022 https://support.mozilla.org/questions/1581038 https://support.mozilla.org/questions/1581063 https://support.mozilla.org/questions/1581089 https://support.mozilla.org/questions/1581092 https://support.mozilla.org/questions/1581096 https://support.mozilla.org/questions/1581099 https://support.mozilla.org/questions/1581100 https://support.mozilla.org/questions/1581104 https://support.mozilla.org/questions/1581115 https://support.mozilla.org/questions/1581130 https://support.mozilla.org/questions/1581135 https://support.mozilla.org/questions/1581138 https://support.mozilla.org/questions/1581141 https://support.mozilla.org/questions/1581146 https://support.mozilla.org/questions/1581147 https://support.mozilla.org/questions/1581175 https://support.mozilla.org/questions/1581178 https://support.mozilla.org/questions/1581180,"Dear invaluable Mozilla Community, I am about to download al | Thunderbird misspells email with Auto-complete | Update could not be installed ( patch apply failed) | Cannot send e-mail after reinstalling Thunderbird | PROBLEMA COM ENVIO DE E-MAILS"
2026-05-10,tb_version_major,150,11,0.0,new,new/dormant,1580909 1580925 1580954 1580957 1580960 1580968 1580980 1580985 1580995 1580997 1581013,https://support.mozilla.org/questions/1580909 https://support.mozilla.org/questions/1580925 https://support.mozilla.org/questions/1580954 https://support.mozilla.org/questions/1580957 https://support.mozilla.org/questions/1580960 https://support.mozilla.org/questions/1580968 https://support.mozilla.org/questions/1580980 https://support.mozilla.org/questions/1580985 https://support.mozilla.org/questions/1580995 https://support.mozilla.org/questions/1580997 https://support.mozilla.org/questions/1581013,lost my email acount rang and the the man asked for $500 or  | Mozilla Account | adding an email | lost all email accounts and address book | Cannot add 123 Hosting to Thunderbird
2026-05-10,os,os:windows,18,3.5,5.14,above-baseline,1580895 1580909 1580925 1580936 1580945 1580954 1580957 1580960 1580965 1580968 1580980 1580985 1580988 1580990 1580995 1580997 1581001 1581013,https://support.mozilla.org/questions/1580895 https://support.mozilla.org/questions/1580909 https://support.mozilla.org/questions/1580925 https://support.mozilla.org/questions/1580936 https://support.mozilla.org/questions/1580945 https://support.mozilla.org/questions/1580954 https://support.mozilla.org/questions/1580957 https://support.mozilla.org/questions/1580960 https://support.mozilla.org/questions/1580965 https://support.mozilla.org/questions/1580968 https://support.mozilla.org/questions/1580980 https://support.mozilla.org/questions/1580985 https://support.mozilla.org/questions/1580988 https://support.mozilla.org/questions/1580990 https://support.mozilla.org/questions/1580995 https://support.mozilla.org/questions/1580997 https://support.mozilla.org/questions/1581001 https://support.mozilla.org/questions/1581013,"When typing on a document or letter, Thunderbird frequently  | lost my email acount rang and the the man asked for $500 or  | Mozilla Account | ‘How to move People All contacts list back to email Send To  | I have 7 email addresses, all with aol - 2 addresses appear "
2026-05-09,isp,isp:spectrum,5,0.0,new,new/dormant,1580858 1580863 1580867 1580871 1580877,https://support.mozilla.org/questions/1580858 https://support.mozilla.org/questions/1580863 https://support.mozilla.org/questions/1580867 https://support.mozilla.org/questions/1580871 https://support.mozilla.org/questions/1580877,"""Thunderbird can't connect to the server"" | Connection was refused | Lost Thunderbird connectivity on Spectrum today 5/9/26 | New update Version 140.10.2esr | Released May 8, 2026.  Toda | Cannot send or receive email in thunderbird"
2026-05-09,tb_version_major,140,6,0.0,new,new/dormant,1580726 1580733 1580778 1580829 1580858 1580884,https://support.mozilla.org/questions/1580726 https://support.mozilla.org/questions/1580733 https://support.mozilla.org/questions/1580778 https://support.mozilla.org/questions/1580829 https://support.mozilla.org/questions/1580858 https://support.mozilla.org/questions/1580884,"How can I import chat history for XMPP? | How do I correct a wrong entry in my Thunderbird spelling di | Non riesco a mettere in ordine alfabetico le sottocartelle d | how do print a 1 page email on 1 piece of paper? | ""Thunderbird can't connect to the server"""
2026-05-09,tb_version_major,150,13,0.0,new,new/dormant,1580732 1580735 1580777 1580802 1580811 1580823 1580826 1580856 1580861 1580863 1580864 1580869 1580874,https://support.mozilla.org/questions/1580732 https://support.mozilla.org/questions/1580735 https://support.mozilla.org/questions/1580777 https://support.mozilla.org/questions/1580802 https://support.mozilla.org/questions/1580811 https://support.mozilla.org/questions/1580823 https://support.mozilla.org/questions/1580826 https://support.mozilla.org/questions/1580856 https://support.mozilla.org/questions/1580861 https://support.mozilla.org/questions/1580863 https://support.mozilla.org/questions/1580864 https://support.mozilla.org/questions/1580869 https://support.mozilla.org/questions/1580874,"im unable to set up my thunderbird, my password is correct | I can't log in to Thunderbird. | Thunderbird don't work properly with Add-On ""German Dictiona | Having trouble removing Thunderbird (desktop) need product c | Ich kann seit mehreren Tagen keine Emails mehr empfangen und"
2026-05-09,os,os:windows,24,3.5,6.86,above-baseline,1580732 1580733 1580735 1580744 1580778 1580802 1580811 1580817 1580822 1580823 1580826 1580829 1580842 1580856 1580858 1580861 1580862 1580863 1580864 1580867 1580869 1580871 1580877 1580884,https://support.mozilla.org/questions/1580732 https://support.mozilla.org/questions/1580733 https://support.mozilla.org/questions/1580735 https://support.mozilla.org/questions/1580744 https://support.mozilla.org/questions/1580778 https://support.mozilla.org/questions/1580802 https://support.mozilla.org/questions/1580811 https://support.mozilla.org/questions/1580817 https://support.mozilla.org/questions/1580822 https://support.mozilla.org/questions/1580823 https://support.mozilla.org/questions/1580826 https://support.mozilla.org/questions/1580829 https://support.mozilla.org/questions/1580842 https://support.mozilla.org/questions/1580856 https://support.mozilla.org/questions/1580858 https://support.mozilla.org/questions/1580861 https://support.mozilla.org/questions/1580862 https://support.mozilla.org/questions/1580863 https://support.mozilla.org/questions/1580864 https://support.mozilla.org/questions/1580867 https://support.mozilla.org/questions/1580869 https://support.mozilla.org/questions/1580871 https://support.mozilla.org/questions/1580877 https://support.mozilla.org/questions/1580884,"im unable to set up my thunderbird, my password is correct | How do I correct a wrong entry in my Thunderbird spelling di | I can't log in to Thunderbird. | my address book did not load with new Thunderbird download a | Non riesco a mettere in ordine alfabetico le sottocartelle d"
2026-05-09,mail_provider,m:microsoftemail,6,2.0,3.0,above-baseline,1580858 1580862 1580863 1580867 1580871 1580877,https://support.mozilla.org/questions/1580858 https://support.mozilla.org/questions/1580862 https://support.mozilla.org/questions/1580863 https://support.mozilla.org/questions/1580867 https://support.mozilla.org/questions/1580871 https://support.mozilla.org/questions/1580877,"""Thunderbird can't connect to the server"" | Two distinct IMAP profiles are downloading from one acount ( | Connection was refused | Lost Thunderbird connectivity on Spectrum today 5/9/26 | New update Version 140.10.2esr | Released May 8, 2026.  Toda"
2026-05-08,tb_version_major,140,8,0.0,new,new/dormant,1580558 1580568 1580622 1580640 1580643 1580665 1580683 1580692,https://support.mozilla.org/questions/1580558 https://support.mozilla.org/questions/1580568 https://support.mozilla.org/questions/1580622 https://support.mozilla.org/questions/1580640 https://support.mozilla.org/questions/1580643 https://support.mozilla.org/questions/1580665 https://support.mozilla.org/questions/1580683 https://support.mozilla.org/questions/1580692,"moved to a different disk drive | got an update for thunderbird now have a different program r | Scheduled checking of emails for some accounts only on certa | Wie kann ich vermeiden, dass Thunderbird bei jedem Start ern | ich habe schon immerThunderbird gehabt ,ich wil der neueste "
2026-05-08,tb_version_major,150,14,0.0,new,new/dormant,1580556 1580570 1580588 1580595 1580613 1580641 1580666 1580684 1580696 1580698 1580704 1580709 1580714 1580716,https://support.mozilla.org/questions/1580556 https://support.mozilla.org/questions/1580570 https://support.mozilla.org/questions/1580588 https://support.mozilla.org/questions/1580595 https://support.mozilla.org/questions/1580613 https://support.mozilla.org/questions/1580641 https://support.mozilla.org/questions/1580666 https://support.mozilla.org/questions/1580684 https://support.mozilla.org/questions/1580696 https://support.mozilla.org/questions/1580698 https://support.mozilla.org/questions/1580704 https://support.mozilla.org/questions/1580709 https://support.mozilla.org/questions/1580714 https://support.mozilla.org/questions/1580716,"Turn off red email count on the taskbar icon | Which installed fonts will Thunderbird actually use? | Using TB, I get a message saying ""no messages to download"" y | Fehlermeldung bei der Authentifizierung | не отправляются письма gmail.com"
2026-05-08,os,os:windows,28,3.5,8.0,above-baseline,1580556 1580558 1580570 1580585 1580588 1580595 1580601 1580613 1580627 1580628 1580640 1580641 1580643 1580645 1580656 1580665 1580666 1580683 1580684 1580692 1580696 1580698 1580701 1580704 1580707 1580709 1580714 1580716,https://support.mozilla.org/questions/1580556 https://support.mozilla.org/questions/1580558 https://support.mozilla.org/questions/1580570 https://support.mozilla.org/questions/1580585 https://support.mozilla.org/questions/1580588 https://support.mozilla.org/questions/1580595 https://support.mozilla.org/questions/1580601 https://support.mozilla.org/questions/1580613 https://support.mozilla.org/questions/1580627 https://support.mozilla.org/questions/1580628 https://support.mozilla.org/questions/1580640 https://support.mozilla.org/questions/1580641 https://support.mozilla.org/questions/1580643 https://support.mozilla.org/questions/1580645 https://support.mozilla.org/questions/1580656 https://support.mozilla.org/questions/1580665 https://support.mozilla.org/questions/1580666 https://support.mozilla.org/questions/1580683 https://support.mozilla.org/questions/1580684 https://support.mozilla.org/questions/1580692 https://support.mozilla.org/questions/1580696 https://support.mozilla.org/questions/1580698 https://support.mozilla.org/questions/1580701 https://support.mozilla.org/questions/1580704 https://support.mozilla.org/questions/1580707 https://support.mozilla.org/questions/1580709 https://support.mozilla.org/questions/1580714 https://support.mozilla.org/questions/1580716,"Turn off red email count on the taskbar icon | moved to a different disk drive | Which installed fonts will Thunderbird actually use? | ho dimenticato la mia password principale | Using TB, I get a message saying ""no messages to download"" y"
2026-05-07,tb_version_major,140,8,0.0,new,new/dormant,1580385 1580409 1580416 1580436 1580497 1580512 1580537 1580551,https://support.mozilla.org/questions/1580385 https://support.mozilla.org/questions/1580409 https://support.mozilla.org/questions/1580416 https://support.mozilla.org/questions/1580436 https://support.mozilla.org/questions/1580497 https://support.mozilla.org/questions/1580512 https://support.mozilla.org/questions/1580537 https://support.mozilla.org/questions/1580551,My sent e-mails are going in to sent box of a different e-ma | Repeated Google Auth requests | Lightning calendar converts single RDATE to multiple and doe | Hoe gehele Yahoo webmail Postvak IN in Mozilla Thunderbird d | 140.10.1esr on Windows 11 Has Major Issues with Interface
2026-05-07,tb_version_major,150,13,0.0,new,new/dormant,1580386 1580403 1580419 1580422 1580432 1580452 1580453 1580456 1580460 1580478 1580494 1580514 1580525,https://support.mozilla.org/questions/1580386 https://support.mozilla.org/questions/1580403 https://support.mozilla.org/questions/1580419 https://support.mozilla.org/questions/1580422 https://support.mozilla.org/questions/1580432 https://support.mozilla.org/questions/1580452 https://support.mozilla.org/questions/1580453 https://support.mozilla.org/questions/1580456 https://support.mozilla.org/questions/1580460 https://support.mozilla.org/questions/1580478 https://support.mozilla.org/questions/1580494 https://support.mozilla.org/questions/1580514 https://support.mozilla.org/questions/1580525,送受信メールが消えた - Sent and received emails have disappeared | Attached emails in eml format sent from Yandex Mail are not  | Compose email or reply email with funny character | Fehler beim herunterladen von PDF Dateien | Invio Pec in stato di avanzamento
2026-05-07,os,os:windows,22,3.0,7.33,above-baseline,1580385 1580386 1580403 1580409 1580411 1580419 1580422 1580423 1580428 1580432 1580436 1580444 1580452 1580453 1580460 1580478 1580494 1580497 1580512 1580525 1580537 1580539,https://support.mozilla.org/questions/1580385 https://support.mozilla.org/questions/1580386 https://support.mozilla.org/questions/1580403 https://support.mozilla.org/questions/1580409 https://support.mozilla.org/questions/1580411 https://support.mozilla.org/questions/1580419 https://support.mozilla.org/questions/1580422 https://support.mozilla.org/questions/1580423 https://support.mozilla.org/questions/1580428 https://support.mozilla.org/questions/1580432 https://support.mozilla.org/questions/1580436 https://support.mozilla.org/questions/1580444 https://support.mozilla.org/questions/1580452 https://support.mozilla.org/questions/1580453 https://support.mozilla.org/questions/1580460 https://support.mozilla.org/questions/1580478 https://support.mozilla.org/questions/1580494 https://support.mozilla.org/questions/1580497 https://support.mozilla.org/questions/1580512 https://support.mozilla.org/questions/1580525 https://support.mozilla.org/questions/1580537 https://support.mozilla.org/questions/1580539,My sent e-mails are going in to sent box of a different e-ma | 送受信メールが消えた - Sent and received emails have disappeared | Attached emails in eml format sent from Yandex Mail are not  | Repeated Google Auth requests | apertura account non riuscito
2026-05-06,tb_version_major,140,6,0.0,new,new/dormant,1580235 1580277 1580301 1580355 1580363 1580374,https://support.mozilla.org/questions/1580235 https://support.mozilla.org/questions/1580277 https://support.mozilla.org/questions/1580301 https://support.mozilla.org/questions/1580355 https://support.mozilla.org/questions/1580363 https://support.mozilla.org/questions/1580374,"I have 2 accounts: a reply on a mail from account A comes in | Calendar sync error: ""status.Settings.138"" | Mailboxes Catastrophically Deleted If Thunderbird Opened In  | Thunderbird will no longer save copies of send emails if the | income messages take a long time, pop up in folder for a gli"
2026-05-06,tb_version_major,150,21,0.0,new,new/dormant,1580203 1580207 1580225 1580247 1580249 1580258 1580263 1580280 1580282 1580285 1580299 1580306 1580317 1580322 1580325 1580326 1580352 1580361 1580362 1580366 1580369,https://support.mozilla.org/questions/1580203 https://support.mozilla.org/questions/1580207 https://support.mozilla.org/questions/1580225 https://support.mozilla.org/questions/1580247 https://support.mozilla.org/questions/1580249 https://support.mozilla.org/questions/1580258 https://support.mozilla.org/questions/1580263 https://support.mozilla.org/questions/1580280 https://support.mozilla.org/questions/1580282 https://support.mozilla.org/questions/1580285 https://support.mozilla.org/questions/1580299 https://support.mozilla.org/questions/1580306 https://support.mozilla.org/questions/1580317 https://support.mozilla.org/questions/1580322 https://support.mozilla.org/questions/1580325 https://support.mozilla.org/questions/1580326 https://support.mozilla.org/questions/1580352 https://support.mozilla.org/questions/1580361 https://support.mozilla.org/questions/1580362 https://support.mozilla.org/questions/1580366 https://support.mozilla.org/questions/1580369,"Cannot transfer profile/emails from one computer to another | Customización de la bandeja de entrada | errore in Invio Posta | New Security Codes for vodafonemail.de, TLS Code not in Thun | Why have all my folders disappeared apart from my inbox?"
2026-05-06,protocol,proto:smtp,6,0.5,12.0,above-baseline,1580225 1580247 1580282 1580326 1580352 1580362,https://support.mozilla.org/questions/1580225 https://support.mozilla.org/questions/1580247 https://support.mozilla.org/questions/1580282 https://support.mozilla.org/questions/1580326 https://support.mozilla.org/questions/1580352 https://support.mozilla.org/questions/1580362,"errore in Invio Posta | New Security Codes for vodafonemail.de, TLS Code not in Thun | messaggio di errore | I installed thunderbird 150 and get always an authentication | i can receive emails but cannot sent, password problem"
2026-05-06,os,os:windows,33,3.0,11.0,above-baseline,1580207 1580225 1580235 1580247 1580256 1580258 1580262 1580263 1580274 1580277 1580280 1580282 1580285 1580293 1580299 1580301 1580306 1580308 1580317 1580322 1580325 1580326 1580352 1580355 1580361 1580362 1580363 1580364 1580365 1580366 1580369 1580374 1580383,https://support.mozilla.org/questions/1580207 https://support.mozilla.org/questions/1580225 https://support.mozilla.org/questions/1580235 https://support.mozilla.org/questions/1580247 https://support.mozilla.org/questions/1580256 https://support.mozilla.org/questions/1580258 https://support.mozilla.org/questions/1580262 https://support.mozilla.org/questions/1580263 https://support.mozilla.org/questions/1580274 https://support.mozilla.org/questions/1580277 https://support.mozilla.org/questions/1580280 https://support.mozilla.org/questions/1580282 https://support.mozilla.org/questions/1580285 https://support.mozilla.org/questions/1580293 https://support.mozilla.org/questions/1580299 https://support.mozilla.org/questions/1580301 https://support.mozilla.org/questions/1580306 https://support.mozilla.org/questions/1580308 https://support.mozilla.org/questions/1580317 https://support.mozilla.org/questions/1580322 https://support.mozilla.org/questions/1580325 https://support.mozilla.org/questions/1580326 https://support.mozilla.org/questions/1580352 https://support.mozilla.org/questions/1580355 https://support.mozilla.org/questions/1580361 https://support.mozilla.org/questions/1580362 https://support.mozilla.org/questions/1580363 https://support.mozilla.org/questions/1580364 https://support.mozilla.org/questions/1580365 https://support.mozilla.org/questions/1580366 https://support.mozilla.org/questions/1580369 https://support.mozilla.org/questions/1580374 https://support.mozilla.org/questions/1580383,"Customización de la bandeja de entrada | errore in Invio Posta | I have 2 accounts: a reply on a mail from account A comes in | New Security Codes for vodafonemail.de, TLS Code not in Thun | i need thunderbird account setting please help me i hope"
2026-05-05,tb_version_major,140,6,0.0,new,new/dormant,1580021 1580052 1580062 1580088 1580156 1580158,https://support.mozilla.org/questions/1580021 https://support.mozilla.org/questions/1580052 https://support.mozilla.org/questions/1580062 https://support.mozilla.org/questions/1580088 https://support.mozilla.org/questions/1580156 https://support.mozilla.org/questions/1580158,The carddav address book is not syncing. | I am trying to add my outlook.com e-mail to Thunderbird. | Wehere is the settings to not select the next email and mark | TB tries to send email from the wrong server  and the wrong  | Is there a way to assign tabs in the tool bar to specific in
2026-05-05,tb_version_major,150,18,0.0,new,new/dormant,1579996 1580004 1580007 1580014 1580036 1580037 1580061 1580072 1580084 1580085 1580119 1580121 1580135 1580139 1580162 1580176 1580181 1580187,https://support.mozilla.org/questions/1579996 https://support.mozilla.org/questions/1580004 https://support.mozilla.org/questions/1580007 https://support.mozilla.org/questions/1580014 https://support.mozilla.org/questions/1580036 https://support.mozilla.org/questions/1580037 https://support.mozilla.org/questions/1580061 https://support.mozilla.org/questions/1580072 https://support.mozilla.org/questions/1580084 https://support.mozilla.org/questions/1580085 https://support.mozilla.org/questions/1580119 https://support.mozilla.org/questions/1580121 https://support.mozilla.org/questions/1580135 https://support.mozilla.org/questions/1580139 https://support.mozilla.org/questions/1580162 https://support.mozilla.org/questions/1580176 https://support.mozilla.org/questions/1580181 https://support.mozilla.org/questions/1580187,Import more outlook accounts into the local folder in thunde | Add New Folder | Change pop 3 to IMAP | Import does not work | Thunderbird for Android security
2026-05-05,os,os:windows,26,3.0,8.67,above-baseline,1579996 1580007 1580014 1580021 1580037 1580052 1580061 1580062 1580072 1580081 1580084 1580085 1580088 1580102 1580103 1580106 1580119 1580121 1580135 1580138 1580139 1580158 1580162 1580165 1580176 1580187,https://support.mozilla.org/questions/1579996 https://support.mozilla.org/questions/1580007 https://support.mozilla.org/questions/1580014 https://support.mozilla.org/questions/1580021 https://support.mozilla.org/questions/1580037 https://support.mozilla.org/questions/1580052 https://support.mozilla.org/questions/1580061 https://support.mozilla.org/questions/1580062 https://support.mozilla.org/questions/1580072 https://support.mozilla.org/questions/1580081 https://support.mozilla.org/questions/1580084 https://support.mozilla.org/questions/1580085 https://support.mozilla.org/questions/1580088 https://support.mozilla.org/questions/1580102 https://support.mozilla.org/questions/1580103 https://support.mozilla.org/questions/1580106 https://support.mozilla.org/questions/1580119 https://support.mozilla.org/questions/1580121 https://support.mozilla.org/questions/1580135 https://support.mozilla.org/questions/1580138 https://support.mozilla.org/questions/1580139 https://support.mozilla.org/questions/1580158 https://support.mozilla.org/questions/1580162 https://support.mozilla.org/questions/1580165 https://support.mozilla.org/questions/1580176 https://support.mozilla.org/questions/1580187,Import more outlook accounts into the local folder in thunde | Change pop 3 to IMAP | Import does not work | The carddav address book is not syncing. | Moving emails to recent folders now has less options
2026-05-05,protocol,proto:imap,6,1.0,6.0,above-baseline,1579996 1580004 1580007 1580081 1580121 1580187,https://support.mozilla.org/questions/1579996 https://support.mozilla.org/questions/1580004 https://support.mozilla.org/questions/1580007 https://support.mozilla.org/questions/1580081 https://support.mozilla.org/questions/1580121 https://support.mozilla.org/questions/1580187,"Import more outlook accounts into the local folder in thunde | Add New Folder | Change pop 3 to IMAP | why and I getting the message ""the certificate for imap.gmai | Stop downloading archived gmails to thunderbird POP"
2026-05-05,mail_provider,m:gmail,7,2.0,3.5,above-baseline,1580036 1580072 1580081 1580088 1580121 1580156 1580187,https://support.mozilla.org/questions/1580036 https://support.mozilla.org/questions/1580072 https://support.mozilla.org/questions/1580081 https://support.mozilla.org/questions/1580088 https://support.mozilla.org/questions/1580121 https://support.mozilla.org/questions/1580156 https://support.mozilla.org/questions/1580187,"Thunderbird for Android security | in den Ordnern veschwinden die mails | why and I getting the message ""the certificate for imap.gmai | TB tries to send email from the wrong server  and the wrong  | Stop downloading archived gmails to thunderbird POP"
2026-05-04,tb_version_major,150,7,0.0,new,new/dormant,1579844 1579880 1579927 1579929 1579943 1579957 1579969,https://support.mozilla.org/questions/1579844 https://support.mozilla.org/questions/1579880 https://support.mozilla.org/questions/1579927 https://support.mozilla.org/questions/1579929 https://support.mozilla.org/questions/1579943 https://support.mozilla.org/questions/1579957 https://support.mozilla.org/questions/1579969,Why can't I forward links from Youtube | my gmail emails are bounced or go into spam for all bt (btop | How to stop Thunderbird printing my emails | I've got Thunderbird 150 on a new laptop. I really miss the  | Ik probeer mijn zakelijke e-mail op mijn nieuwe laptop te in
2026-05-04,os,os:windows,17,3.0,5.67,above-baseline,1579844 1579858 1579862 1579880 1579885 1579887 1579901 1579917 1579923 1579925 1579927 1579929 1579943 1579947 1579957 1579969 1579985,https://support.mozilla.org/questions/1579844 https://support.mozilla.org/questions/1579858 https://support.mozilla.org/questions/1579862 https://support.mozilla.org/questions/1579880 https://support.mozilla.org/questions/1579885 https://support.mozilla.org/questions/1579887 https://support.mozilla.org/questions/1579901 https://support.mozilla.org/questions/1579917 https://support.mozilla.org/questions/1579923 https://support.mozilla.org/questions/1579925 https://support.mozilla.org/questions/1579927 https://support.mozilla.org/questions/1579929 https://support.mozilla.org/questions/1579943 https://support.mozilla.org/questions/1579947 https://support.mozilla.org/questions/1579957 https://support.mozilla.org/questions/1579969 https://support.mozilla.org/questions/1579985,Why can't I forward links from Youtube | Problemi con visualizzazione messaggi HTML | Emails set to wromg time zone | my gmail emails are bounced or go into spam for all bt (btop | Felkod XPCOM
2026-05-03,tb_version_major,150,9,0.0,new,new/dormant,1579676 1579699 1579737 1579753 1579758 1579761 1579775 1579790 1579822,https://support.mozilla.org/questions/1579676 https://support.mozilla.org/questions/1579699 https://support.mozilla.org/questions/1579737 https://support.mozilla.org/questions/1579753 https://support.mozilla.org/questions/1579758 https://support.mozilla.org/questions/1579761 https://support.mozilla.org/questions/1579775 https://support.mozilla.org/questions/1579790 https://support.mozilla.org/questions/1579822,"I see others in their email, have a standard ending with the | I am attempting to add an email from ""roadrunner.com"" into t | holiday response | Non riesco ad aggiungere l'account di gmail.com mi appare er | How can I stop the synchronisation of the source email to Th"
2026-05-03,os,os:windows,14,2.5,5.6,above-baseline,1579676 1579690 1579699 1579737 1579750 1579753 1579758 1579761 1579775 1579779 1579784 1579790 1579812 1579822,https://support.mozilla.org/questions/1579676 https://support.mozilla.org/questions/1579690 https://support.mozilla.org/questions/1579699 https://support.mozilla.org/questions/1579737 https://support.mozilla.org/questions/1579750 https://support.mozilla.org/questions/1579753 https://support.mozilla.org/questions/1579758 https://support.mozilla.org/questions/1579761 https://support.mozilla.org/questions/1579775 https://support.mozilla.org/questions/1579779 https://support.mozilla.org/questions/1579784 https://support.mozilla.org/questions/1579790 https://support.mozilla.org/questions/1579812 https://support.mozilla.org/questions/1579822,"I see others in their email, have a standard ending with the | Problems adding new hotmail accounts. | I am attempting to add an email from ""roadrunner.com"" into t | holiday response | stop getting the pay screen"
2026-05-02,tb_version_major,140,5,0.0,new,new/dormant,1579563 1579573 1579600 1579613 1579654,https://support.mozilla.org/questions/1579563 https://support.mozilla.org/questions/1579573 https://support.mozilla.org/questions/1579600 https://support.mozilla.org/questions/1579613 https://support.mozilla.org/questions/1579654,I can't click the green lock icon in the URL bar of the web  | Why is login credentials suddenly asked for? | Thunderbird not reading links after update | Thunderbird keeps asking for a password that has been saved  | calendar import sets up but doesn't initiate
